,start_station_name,end_station_name,Number of Trips
4457,Buckingham Fountain,Damen Ave & Pierce Ave,2
8880,Clark St & Chicago Ave,St. Louis Ave & Fullerton Ave,2
48954,Wells St & 19th St,Wabash Ave & Adams St,2
4456,Buckingham Fountain,Damen Ave & Grand Ave,2
48951,Wells St & 19th St,South Shore Dr & 67th St,2
48950,Wells St & 19th St,Shields Ave & 31st St,2
8860,Clark St & Chicago Ave,Racine Ave & Wrightwood Ave,2
8862,Clark St & Chicago Ave,Rush St & Cedar St,2
8863,Clark St & Chicago Ave,Rush St & Hubbard St,2
48948,Wells St & 19th St,Shedd Aquarium,2
8867,Clark St & Chicago Ave,Sedgwick St & Huron St,2
8868,Clark St & Chicago Ave,Sedgwick St & North Ave,2
48947,Wells St & 19th St,Rush St & Hubbard St,2
8872,Clark St & Chicago Ave,Sheffield Ave & Waveland Ave,2
48940,Wells St & 19th St,Michigan Ave & Washington St,2
49042,Wells St & Concord Ln,Elston Ave & Wabansia Ave,2
8606,Clark St & Berwyn Ave,Lincoln Ave & Sunnyside Ave,2
8605,Clark St & Berwyn Ave,Lincoln Ave & Roscoe St*,2
50849,Western Ave & Fillmore St,Delano Ct & Roosevelt Rd,2
8312,Clark St & 9th St (AMLI),Throop St & Taylor St,2
8313,Clark St & 9th St (AMLI),Wabash Ave & 16th St,2
8317,Clark St & 9th St (AMLI),Wells St & Hubbard St,2
4615,Burling St & Diversey Pkwy,Clark St & Chicago Ave,2
8323,Clark St & Armitage Ave,Ashland Ave & Blackhawk St,2
49124,Wells St & Concord Ln,Racine Ave & Washington Blvd,2
4612,Burling St & Diversey Pkwy,Clarendon Ave & Gordon Ter,2
4611,Burling St & Diversey Pkwy,Central St & Girard Ave,2
4610,Burling St & Diversey Pkwy,Cannon Dr & Fullerton Ave,2
8334,Clark St & Armitage Ave,Broadway & Granville Ave,2
8338,Clark St & Armitage Ave,Broadway & Wilson - Truman College Vaccination Site,2
8342,Clark St & Armitage Ave,California Ave & Milwaukee Ave,2
49119,Wells St & Concord Ln,Peoria St & Jackson Blvd,2
8352,Clark St & Armitage Ave,Clarendon Ave & Junior Ter,2
8306,Clark St & 9th St (AMLI),State St & 19th St,2
4607,Burling St & Diversey Pkwy,California Ave & Milwaukee Ave,2
8356,Clark St & Armitage Ave,Clark St & Bryn Mawr Ave,2
4603,Burling St & Diversey Pkwy,Broadway & Waveland Ave,2
8361,Clark St & Armitage Ave,Clark St & Lake St,2
4597,Burling St & Diversey Pkwy,Broadway & Argyle St,2
8376,Clark St & Armitage Ave,Damen Ave & Division St,2
8377,Clark St & Armitage Ave,Damen Ave & Foster Ave,2
4594,Burling St & Diversey Pkwy,Avondale Ave & Irving Park Rd,2
4592,Burling St & Diversey Pkwy,Ashland Ave & Wellington Ave,2
4589,Burling St & Diversey Pkwy,Ashland Ave & Division St,2
50852,Western Ave & Fillmore St,DuSable Lake Shore Dr & Monroe St,2
8401,Clark St & Armitage Ave,Franklin St & Jackson Blvd,2
4587,Burling St & Diversey Pkwy,Ashland Ave & Belle Plaine Ave,2
8310,Clark St & 9th St (AMLI),State St & Van Buren St,2
8305,Clark St & 9th St (AMLI),Sheffield Ave & Fullerton Ave,2
4583,Budlong Woods Library,Western Ave & Roscoe St,2
8248,Clark St & 9th St (AMLI),Dearborn St & Erie St,2
8218,Clarendon Ave & Leland Ave,Washtenaw Ave & Lawrence Ave,2
8220,Clarendon Ave & Leland Ave,Western Ave & Leland Ave,2
8221,Clarendon Ave & Leland Ave,Wilton Ave & Belmont Ave,2
50843,Western Ave & Fillmore St,California Ave & 21st St,2
49167,Wells St & Concord Ln,Wabash Ave & Cermak Rd,2
8225,Clark St & 9th St (AMLI),Adler Planetarium,2
49164,Wells St & Concord Ln,Troy St & Elston Ave,2
8233,Clark St & 9th St (AMLI),Canal St & Taylor St,2
8234,Clark St & 9th St (AMLI),Cityfront Plaza Dr & Pioneer Ct,2
50845,Western Ave & Fillmore St,Clinton St & Madison St,2
8244,Clark St & 9th St (AMLI),Columbus Dr & Randolph St,2
8246,Clark St & 9th St (AMLI),Damen Ave & Grand Ave,2
49153,Wells St & Concord Ln,Spaulding Ave & Armitage Ave,2
8250,Clark St & 9th St (AMLI),Dearborn St & Van Buren St,2
8301,Clark St & 9th St (AMLI),Rush St & Hubbard St,2
8265,Clark St & 9th St (AMLI),Franklin St & Jackson Blvd,2
8267,Clark St & 9th St (AMLI),Franklin St & Monroe St,2
8269,Clark St & 9th St (AMLI),Green St & Randolph St*,2
8272,Clark St & 9th St (AMLI),Jefferson St & Monroe St,2
8276,Clark St & 9th St (AMLI),Larrabee St & North Ave,2
4627,Burling St & Diversey Pkwy,Damen Ave & Clybourn Ave,2
8282,Clark St & 9th St (AMLI),Michigan Ave & 18th St,2
8287,Clark St & 9th St (AMLI),Michigan Ave & Oak St,2
50846,Western Ave & Fillmore St,Clinton St & Roosevelt Rd,2
8294,Clark St & 9th St (AMLI),Morgan St & Lake St,2
8295,Clark St & 9th St (AMLI),New St & Illinois St,2
49134,Wells St & Concord Ln,Seeley Ave & Roscoe St,2
8300,Clark St & 9th St (AMLI),Racine Ave & 35th St,2
50854,Western Ave & Fillmore St,Green St & Madison St,2
