,start_station_name,end_station_name,Number of Trips
47395,W Washington Blvd & N Peoria St,Wabash Ave & 9th St,1
47394,W Washington Blvd & N Peoria St,W Washington Blvd & N Peoria St,1
44229,Southport Ave & Wrightwood Ave,Milwaukee Ave & Rockwell St,1
40140,Sangamon St & Washington Blvd,Cityfront Plaza Dr & Pioneer Ct,1
47393,W Washington Blvd & N Peoria St,Southport Ave & Clybourn Ave,1
52225,Wood St & 35th St,Wood St & Milwaukee Ave,1
47392,W Washington Blvd & N Peoria St,Peoria St & Jackson Blvd,1
52491,Wood St & Hubbard St,Wallace St & 35th St,1
40139,Sangamon St & Washington Blvd,Carpenter St & Huron St,1
47391,W Washington Blvd & N Peoria St,Orleans St & Merchandise Mart Plaza,1
47390,W Washington Blvd & N Peoria St,Milwaukee Ave & Grand Ave,1
47389,W Washington Blvd & N Peoria St,Franklin St & Illinois St,1
39232,Richmond St & Diversey Ave,Talman Ave & Addison St,1
52127,Wolcott (Ravenswood) Ave & Montrose Ave,Sheridan Rd & Buena Ave,1
52493,Wood St & Hubbard St,Wells St & Walton St,1
47400,Wabash Ave & 16th St,Broadway & Barry Ave,1
39226,Richmond St & Diversey Ave,Sheffield Ave & Willow St,1
39219,Richmond St & Diversey Ave,Montrose Harbor,1
44230,Southport Ave & Wrightwood Ave,Milwaukee Ave & Wabansia Ave,1
47410,Wabash Ave & 16th St,Canal St & Taylor St,1
39220,Richmond St & Diversey Ave,Pine Grove Ave & Irving Park Rd,1
39221,Richmond St & Diversey Ave,Racine Ave & 18th St,1
39222,Richmond St & Diversey Ave,Racine Ave & Belmont Ave,1
39223,Richmond St & Diversey Ave,Racine Ave & Fullerton Ave,1
52333,Wood St & Chicago Ave,Broadway & Cornelia Ave,1
44232,Southport Ave & Wrightwood Ave,New St & Illinois St,1
47407,Wabash Ave & 16th St,Canal St & Jackson Blvd,1
47406,Wabash Ave & 16th St,Calumet Ave & 35th St,1
52226,Wood St & 47th St,Prairie Ave & 47th St - midblock,1
45960,Stave St & Armitage Ave,Southport Ave & Wellington Ave,1
45962,Stave St & Armitage Ave,Spaulding Ave & Evergreen Ave,1
44234,Southport Ave & Wrightwood Ave,Orleans St & Elm St,1
47402,Wabash Ave & 16th St,Buckingham Fountain,1
44236,Southport Ave & Wrightwood Ave,Racine Ave & Congress Pkwy,1
44237,Southport Ave & Wrightwood Ave,Racine Ave & Fullerton Ave,1
44238,Southport Ave & Wrightwood Ave,Racine Ave & Wrightwood Ave,1
47401,Wabash Ave & 16th St,Broadway & Belmont Ave,1
39225,Richmond St & Diversey Ave,Sheffield Ave & Waveland Ave,1
47450,Wabash Ave & 16th St,Kingsbury St & Erie St,1
47454,Wabash Ave & 16th St,Lake Park Ave & 35th St,1
52112,Wolcott (Ravenswood) Ave & Montrose Ave,Lincoln Ave & Roscoe St,1
44192,Southport Ave & Wrightwood Ave,Drake Ave & Montrose Ave,1
44903,State St & 35th St,Wabash Ave & 9th St,1
47501,Wabash Ave & 16th St,Wentworth Ave & 24th St (Temp),1
47500,Wabash Ave & 16th St,Wells St & Huron St,1
40172,Sangamon St & Washington Blvd,DuSable Lake Shore Dr & North Blvd,1
47499,Wabash Ave & 16th St,Wells St & Concord Ln,1
47498,Wabash Ave & 16th St,Wells St & 19th St,1
52120,Wolcott (Ravenswood) Ave & Montrose Ave,Pine Grove Ave & Irving Park Rd,1
40171,Sangamon St & Washington Blvd,DuSable Lake Shore Dr & Monroe St,1
51717,Wilton Ave & Diversey Pkwy,California Ave & Altgeld St,1
47496,Wabash Ave & 16th St,Wabash Ave & Grand Ave,1
51151,Western Ave & Roscoe St,Damen Ave & Wellington Ave,1
47504,Wabash Ave & 16th St,Wood St & Milwaukee Ave,1
52506,Wood St & Milwaukee Ave,Ashland Ave & Chicago Ave,1
39188,Richmond St & Diversey Ave,California Ave & North Ave,1
47492,Wabash Ave & 16th St,University Ave & 57th St,1
44902,State St & 35th St,Wabash Ave & 16th St,1
45945,Stave St & Armitage Ave,Paulina Ave & North Ave,1
44194,Southport Ave & Wrightwood Ave,DuSable Lake Shore Dr & Diversey Pkwy,1
45946,Stave St & Armitage Ave,Pine Grove Ave & Waveland Ave,1
47488,Wabash Ave & 16th St,State St & Van Buren St,1
47487,Wabash Ave & 16th St,State St & Randolph St,1
47485,Wabash Ave & 16th St,State St & Harrison St,1
39183,Richmond St & Diversey Ave,California Ave & Cortez St,1
52508,Wood St & Milwaukee Ave,Ashland Ave & Grand Ave,1
40155,Sangamon St & Washington Blvd,Clybourn Ave & Division St,1
52116,Wolcott (Ravenswood) Ave & Montrose Ave,Logan Blvd & Elston Ave,1
44182,Southport Ave & Wrightwood Ave,Damen Ave & Charleston St,1
39178,Richmond St & Diversey Ave,Bernard St & Elston Ave,1
44183,Southport Ave & Wrightwood Ave,Damen Ave & Clybourn Ave,1
47520,Wabash Ave & 87th St,Stony Island Ave & 90th St,1
47519,Wabash Ave & 87th St,Stewart Ave & 83rd St,1
52115,Wolcott (Ravenswood) Ave & Montrose Ave,Lincoln Ave & Winona St,1
47518,Wabash Ave & 87th St,Morgan St & 87th St,1
40174,Sangamon St & Washington Blvd,Fairbanks St & Superior St,1
47516,Wabash Ave & 87th St,MLK Jr Dr & 47th St,1
44185,Southport Ave & Wrightwood Ave,Damen Ave & Leland Ave,1
45938,Stave St & Armitage Ave,Logan Blvd & Elston Ave,1
45943,Stave St & Armitage Ave,Noble St & Milwaukee Ave,1
41508,Sheffield Ave & Waveland Ave,Broadway & Ridge Ave,1
45939,Stave St & Armitage Ave,Mies van der Rohe Way & Chicago Ave,1
39179,Richmond St & Diversey Ave,Broadway & Belmont Ave,1
44186,Southport Ave & Wrightwood Ave,Damen Ave & Melrose Ave,1
47509,Wabash Ave & 87th St,Clyde Ave & 87th St,1
44187,Southport Ave & Wrightwood Ave,Damen Ave & Pierce Ave,1
44188,Southport Ave & Wrightwood Ave,Damen Ave & Thomas St (Augusta Blvd),1
39180,Richmond St & Diversey Ave,Burling St & Diversey Pkwy,1
47506,Wabash Ave & 83rd St,Phillips Ave & 83rd St,1
47505,Wabash Ave & 16th St,Woodlawn Ave & Lake Park Ave,1
52502,Wood St & Milwaukee Ave,Artesian Ave & Hubbard St,1
45947,Stave St & Armitage Ave,Racine Ave & Belmont Ave,1
52501,Wood St & Milwaukee Ave,Ada St & Washington Blvd,1
51153,Western Ave & Roscoe St,Halsted St & Willow St,1
47470,Wabash Ave & 16th St,Morgan St & 18th St,1
47469,Wabash Ave & 16th St,Milwaukee Ave & Grand Ave,1
51714,Wilton Ave & Diversey Pkwy,Broadway & Thorndale Ave,1
39198,Richmond St & Diversey Ave,Damen Ave & Pierce Ave,1
39199,Richmond St & Diversey Ave,Dearborn St & Monroe St,1
40159,Sangamon St & Washington Blvd,Damen Ave & Clybourn Ave,1
45950,Stave St & Armitage Ave,Sedgwick St & North Ave,1
41041,Shedd Aquarium,Elizabeth St & 59th St,1
44204,Southport Ave & Wrightwood Ave,Halsted St & Willow St,1
44206,Southport Ave & Wrightwood Ave,Honore St & Division St,1
40157,Sangamon St & Washington Blvd,Damen Ave & Charleston St,1
47484,Wabash Ave & 16th St,State St & 35th St,1
39200,Richmond St & Diversey Ave,Drake Ave & Montrose Ave,1
47459,Wabash Ave & 16th St,McCormick Place,1
40156,Sangamon St & Washington Blvd,Columbus Dr & Randolph St,1
47458,Wabash Ave & 16th St,May St & Cullerton St,1
47456,Wabash Ave & 16th St,Loomis St & Jackson Blvd,1
44209,Southport Ave & Wrightwood Ave,Larrabee St & Armitage Ave,1
39201,Richmond St & Diversey Ave,Field Museum,1
47455,Wabash Ave & 16th St,Lake Park Ave & 53rd St,1
39203,Richmond St & Diversey Ave,Humboldt Blvd & Armitage Ave,1
45951,Stave St & Armitage Ave,Sedgwick St & Webster Ave,1
39197,Richmond St & Diversey Ave,Damen Ave & Clybourn Ave,1
47471,Wabash Ave & 16th St,Museum of Science and Industry,1
40160,Sangamon St & Washington Blvd,Damen Ave & Cortland St,1
47472,Wabash Ave & 16th St,Ogden Ave & Chicago Ave,1
40167,Sangamon St & Washington Blvd,Dearborn St & Van Buren St,1
40166,Sangamon St & Washington Blvd,Dearborn St & Monroe St,1
51152,Western Ave & Roscoe St,Halsted St & Roscoe St,1
41499,Sheffield Ave & Waveland Ave,Bernard St & Elston Ave,1
39189,Richmond St & Diversey Ave,Campbell Ave & Fullerton Ave,1
47481,Wabash Ave & 16th St,Shields Ave & 28th Pl,1
52228,Wood St & Augusta Blvd,Albany Ave & Bloomingdale Ave,1
40165,Sangamon St & Washington Blvd,Dearborn St & Erie St,1
39190,Richmond St & Diversey Ave,Central Park Ave & Elbridge Ave,1
39191,Richmond St & Diversey Ave,Christiana Ave & Lawrence Ave,1
45949,Stave St & Armitage Ave,Rockwell St & Fletcher St,1
47477,Wabash Ave & 16th St,Ritchie Ct & Banks St,1
41497,Sheffield Ave & Waveland Ave,Avondale Ave & Irving Park Rd,1
39194,Richmond St & Diversey Ave,Clark St & Grace St,1
44198,Southport Ave & Wrightwood Ave,Fairbanks Ct & Grand Ave,1
44199,Southport Ave & Wrightwood Ave,Green St & Madison St,1
40163,Sangamon St & Washington Blvd,Damen Ave & Madison St,1
40162,Sangamon St & Washington Blvd,Damen Ave & Grand Ave,1
39195,Richmond St & Diversey Ave,Clark St & Leland Ave,1
40161,Sangamon St & Washington Blvd,Damen Ave & Coulter St,1
39196,Richmond St & Diversey Ave,Clifton Ave & Armitage Ave,1
39098,Ravenswood Ave & Lawrence Ave,N Shore Channel Trail & Argyle St,1
44100,Southport Ave & Wellington Ave,Ogden Ave & Chicago Ave,1
51110,Western Ave & Monroe St,Honore St & Division St,1
43999,Southport Ave & Waveland Ave,Western Ave & Gunnison St,1
39028,Ravenswood Ave & Irving Park Rd,Wells St & Concord Ln,1
47883,Wabash Ave & Cermak Rd,Racine Ave & 15th St,1
47882,Wabash Ave & Cermak Rd,Paulina St & 18th St,1
45844,State St & Van Buren St,Rush St & Hubbard St,1
45845,State St & Van Buren St,Sedgwick St & Schiller St,1
45848,State St & Van Buren St,Southport Ave & Roscoe St,1
45849,State St & Van Buren St,Southport Ave & Waveland Ave,1
39029,Ravenswood Ave & Irving Park Rd,Western Ave & Leland Ave,1
47879,Wabash Ave & Cermak Rd,Morgan Ave & 14th Pl,1
39030,Ravenswood Ave & Irving Park Rd,Winchester (Ravenswood) Ave & Balmoral Ave,1
52095,Wolcott (Ravenswood) Ave & Montrose Ave,Damen Ave & Sunnyside Ave,1
47885,Wabash Ave & Cermak Rd,Rush St & Cedar St,1
52568,Wood St & Milwaukee Ave,Dayton St & North Ave,1
47876,Wabash Ave & Cermak Rd,Michigan Ave & Lake St,1
44001,Southport Ave & Waveland Ave,Western Ave & Roscoe St,1
39032,Ravenswood Ave & Lawrence Ave,2112 W Peterson Ave,1
47874,Wabash Ave & Cermak Rd,Michigan Ave & Ida B Wells Dr,1
40236,Sangamon St & Washington Blvd,Rush St & Hubbard St,1
39034,Ravenswood Ave & Lawrence Ave,Bernard St & Elston Ave,1
45851,State St & Van Buren St,State St & 19th St,1
44003,Southport Ave & Waveland Ave,Wilton Ave & Diversey Pkwy,1
47869,Wabash Ave & Cermak Rd,McClurg Ct & Erie St,1
47884,Wabash Ave & Cermak Rd,Racine Ave & 18th St,1
43996,Southport Ave & Waveland Ave,Wells St & Evergreen Ave,1
39036,Ravenswood Ave & Lawrence Ave,Broadway & Barry Ave,1
40239,Sangamon St & Washington Blvd,Sedgwick St & Huron St,1
47913,Wabash Ave & Grand Ave,Ada St & Washington Blvd,1
51746,Wilton Ave & Diversey Pkwy,Desplaines St & Kinzie St,1
40244,Sangamon St & Washington Blvd,Sheffield Ave & Willow St,1
40243,Sangamon St & Washington Blvd,Sheffield Ave & Kingsbury St,1
47905,Wabash Ave & Cermak Rd,Wells St & Polk St,1
47904,Wabash Ave & Cermak Rd,Wells St & Huron St,1
40241,Sangamon St & Washington Blvd,Sedgwick St & Schiller St,1
43987,Southport Ave & Waveland Ave,State St & Chicago Ave,1
51126,Western Ave & Monroe St,Streeter Dr & Grand Ave,1
41003,Shedd Aquarium,Canal St & Harrison St,1
39021,Ravenswood Ave & Irving Park Rd,Southport Ave & Irving Park Rd,1
39026,Ravenswood Ave & Irving Park Rd,Streeter Dr & Grand Ave,1
45841,State St & Van Buren St,Racine Ave & Fullerton Ave,1
44947,State St & 95th St,Oglesby Ave & 100th St,1
47895,Wabash Ave & Cermak Rd,Stetson Ave & South Water St,1
43992,Southport Ave & Waveland Ave,Troy St & North Ave,1
43993,Southport Ave & Waveland Ave,W Oakdale Ave & N Broadway,1
47890,Wabash Ave & Cermak Rd,State St & 33rd St,1
47888,Wabash Ave & Cermak Rd,State St & 19th St,1
39025,Ravenswood Ave & Irving Park Rd,Stockton Dr & Wrightwood Ave,1
43994,Southport Ave & Waveland Ave,Washtenaw Ave & Peterson Ave,1
47886,Wabash Ave & Cermak Rd,Shedd Aquarium,1
47868,Wabash Ave & Cermak Rd,May St & Cullerton St,1
47867,Wabash Ave & Cermak Rd,MLK Jr Dr & Pershing Rd,1
44099,Southport Ave & Wellington Ave,Oakley Ave & Irving Park Rd,1
40230,Sangamon St & Washington Blvd,Orleans St & Merchandise Mart Plaza,1
51742,Wilton Ave & Diversey Pkwy,Damen Ave & Thomas St (Augusta Blvd),1
47839,Wabash Ave & Cermak Rd,Desplaines St & Jackson Blvd,1
39047,Ravenswood Ave & Lawrence Ave,California Ave & Byron St,1
44944,State St & 95th St,Halsted St & 73rd St,1
47837,Wabash Ave & Cermak Rd,Dearborn St & Van Buren St,1
39049,Ravenswood Ave & Lawrence Ave,California Ave & Winona St,1
47836,Wabash Ave & Cermak Rd,Dearborn St & Adams St,1
44017,Southport Ave & Wellington Ave,Broadway & Ridge Ave,1
40231,Sangamon St & Washington Blvd,Paulina Ave & North Ave,1
39051,Ravenswood Ave & Lawrence Ave,Chicago Ave & Sheridan Rd,1
47835,Wabash Ave & Cermak Rd,Dearborn Pkwy & Delaware Pl,1
44013,Southport Ave & Wellington Ave,Broadway & Argyle St,1
47834,Wabash Ave & Cermak Rd,Damen Ave & Coulter St,1
47833,Wabash Ave & Cermak Rd,Daley Center Plaza,1
40229,Sangamon St & Washington Blvd,Orleans St & Elm St,1
45854,State St & Van Buren St,State St & Pearson St,1
51355,Western Ave & Winnebago Ave,Damen Ave & Leland Ave,1
44943,State St & 95th St,Halsted St & 104th St,1
41005,Shedd Aquarium,Canal St & Monroe St,1
41598,Sheffield Ave & Waveland Ave,Larrabee St & Oak St,1
47830,Wabash Ave & Cermak Rd,Clinton St & Lake St,1
52566,Wood St & Milwaukee Ave,Damen Ave & Wabansia Ave,1
40233,Sangamon St & Washington Blvd,Pine Grove Ave & Irving Park Rd,1
44012,Southport Ave & Wellington Ave,Bissell St & Armitage Ave,1
51745,Wilton Ave & Diversey Pkwy,Desplaines St & Jackson Blvd,1
41602,Sheffield Ave & Waveland Ave,Leavitt St & Division St,1
47865,Wabash Ave & Cermak Rd,Lakefront Trail & Bryn Mawr Ave,1
41603,Sheffield Ave & Waveland Ave,Leavitt St & Lawrence Ave,1
39038,Ravenswood Ave & Lawrence Ave,Broadway & Berwyn Ave,1
47864,Wabash Ave & Cermak Rd,Lake Park Ave & 56th St,1
47863,Wabash Ave & Cermak Rd,Lake Park Ave & 35th St,1
47862,Wabash Ave & Cermak Rd,LaSalle St & Illinois St,1
47861,Wabash Ave & Cermak Rd,LaSalle St & Adams St,1
47859,Wabash Ave & Cermak Rd,Kingsbury St & Kinzie St,1
44946,State St & 95th St,Major Taylor Trail & 115th St,1
47856,Wabash Ave & Cermak Rd,Halsted St & Willow St,1
44006,Southport Ave & Waveland Ave,Wood St & Milwaukee Ave,1
40234,Sangamon St & Washington Blvd,Racine Ave & 15th St,1
47855,Wabash Ave & Cermak Rd,Halsted St & Polk St,1
47853,Wabash Ave & Cermak Rd,Halsted St & 35th St,1
47852,Wabash Ave & Cermak Rd,Halsted St & 21st St,1
44007,Southport Ave & Wellington Ave,Ashland Ave & Blackhawk St,1
47850,Wabash Ave & Cermak Rd,Green St & Randolph St,1
40235,Sangamon St & Washington Blvd,Racine Ave & Congress Pkwy,1
47847,Wabash Ave & Cermak Rd,Financial Pl & Ida B Wells Dr,1
44008,Southport Ave & Wellington Ave,Ashland Ave & Division St,1
44009,Southport Ave & Wellington Ave,Ashland Ave & Grace St,1
39045,Ravenswood Ave & Lawrence Ave,Budlong Woods Library,1
51747,Wilton Ave & Diversey Pkwy,Desplaines St & Randolph St,1
44949,State St & 95th St,Vernon Ave & 107th St,1
45839,State St & Van Buren St,Peoria St & Jackson Blvd,1
45820,State St & Van Buren St,McClurg Ct & Ohio St,1
44958,State St & Chicago Ave,Ashland Ave & Augusta Blvd,1
51755,Wilton Ave & Diversey Pkwy,Elston Ave & George St,1
38998,Ravenswood Ave & Irving Park Rd,Logan Blvd & Elston Ave,1
43952,Southport Ave & Waveland Ave,Pulaski Rd & Eddy St (Temp),1
41628,Sheffield Ave & Waveland Ave,Morgan St & Lake St,1
47973,Wabash Ave & Grand Ave,Dearborn St & Van Buren St,1
45817,State St & Van Buren St,May St & Cullerton St,1
45818,State St & Van Buren St,May St & Taylor St,1
45819,State St & Van Buren St,McClurg Ct & Erie St,1
51119,Western Ave & Monroe St,Peoria St & Jackson Blvd,1
45821,State St & Van Buren St,McCormick Place,1
51510,Wilton Ave & Belmont Ave,Campbell Ave & North Ave,1
47967,Wabash Ave & Grand Ave,Damen Ave & Walnut (Lake) St,1
39001,Ravenswood Ave & Irving Park Rd,Milwaukee Ave & Fullerton Ave,1
40257,Sangamon St & Washington Blvd,Wells St & Polk St,1
47965,Wabash Ave & Grand Ave,Damen Ave & Melrose Ave,1
47964,Wabash Ave & Grand Ave,Damen Ave & Madison St,1
47963,Wabash Ave & Grand Ave,Damen Ave & Grand Ave,1
47962,Wabash Ave & Grand Ave,Damen Ave & Division St,1
43955,Southport Ave & Waveland Ave,Racine Ave & Washington Blvd,1
44957,State St & Chicago Ave,Albany Ave & Bloomingdale Ave,1
44956,State St & Chicago Ave,Ada St & Washington Blvd,1
41631,Sheffield Ave & Waveland Ave,Orleans St & Merchandise Mart Plaza,1
51118,Western Ave & Monroe St,Ogden Ave & Congress Pkwy,1
47915,Wabash Ave & Grand Ave,Albany Ave & Bloomingdale Ave,1
51113,Western Ave & Monroe St,Kingsbury St & Erie St,1
44963,State St & Chicago Ave,Bissell St & Armitage Ave*,1
41637,Sheffield Ave & Waveland Ave,Racine Ave & 18th St,1
52088,Wolcott (Ravenswood) Ave & Montrose Ave,Clark St & Schreiber Ave,1
38988,Ravenswood Ave & Irving Park Rd,Leavitt St & Lawrence Ave,1
43948,Southport Ave & Waveland Ave,Paulina Ave & North Ave,1
43949,Southport Ave & Waveland Ave,Paulina St & Montrose Ave,1
45814,State St & Van Buren St,Lincoln Ave & Belmont Ave,1
41634,Sheffield Ave & Waveland Ave,Peoria St & Jackson Blvd,1
51112,Western Ave & Monroe St,Kedzie Ave & Milwaukee Ave,1
47985,Wabash Ave & Grand Ave,Ellis Ave & 55th St,1
44962,State St & Chicago Ave,Bissell St & Armitage Ave,1
38995,Ravenswood Ave & Irving Park Rd,Lincoln Ave & Roscoe St*,1
44961,State St & Chicago Ave,Ashland Ave & Grand Ave,1
51114,Western Ave & Monroe St,Leavitt St & Belmont Ave,1
47984,Wabash Ave & Grand Ave,Elizabeth (May) St & Fulton St,1
40996,Shedd Aquarium,Broadway & Sheridan Rd,1
47983,Wabash Ave & Grand Ave,Eckhart Park,1
38994,Ravenswood Ave & Irving Park Rd,Lincoln Ave & Roscoe St,1
41632,Sheffield Ave & Waveland Ave,Paulina St & 18th St,1
51115,Western Ave & Monroe St,Loomis St & Archer Ave,1
51116,Western Ave & Monroe St,Monticello Ave & Chicago Ave,1
51117,Western Ave & Monroe St,Morgan St & Lake St*,1
39005,Ravenswood Ave & Irving Park Rd,Pine Grove Ave & Waveland Ave,1
51120,Western Ave & Monroe St,Pulaski Rd & Congress Pkwy,1
43957,Southport Ave & Waveland Ave,Ravenswood Ave & Berteau Ave,1
52093,Wolcott (Ravenswood) Ave & Montrose Ave,Damen Ave & Melrose Ave,1
47930,Wabash Ave & Grand Ave,Campbell Ave & North Ave,1
40251,Sangamon St & Washington Blvd,Theater on the Lake,1
41617,Sheffield Ave & Waveland Ave,Maplewood Ave & Peterson Ave,1
44952,State St & 95th St,Western Ave & 111th St,1
52573,Wood St & Milwaukee Ave,Drake Ave & Montrose Ave,1
47924,Wabash Ave & Grand Ave,Broadway & Argyle St,1
39014,Ravenswood Ave & Irving Park Rd,Sheffield Ave & Wrightwood Ave,1
51754,Wilton Ave & Diversey Pkwy,Elston Ave & Cortland St,1
44951,State St & 95th St,Wentworth Ave & 104th St,1
51753,Wilton Ave & Diversey Pkwy,Dusable Harbor,1
40249,Sangamon St & Washington Blvd,Stockton Dr & Wrightwood Ave,1
51121,Western Ave & Monroe St,Racine Ave & 15th St,1
45835,State St & Van Buren St,N Green St & W Lake St,1
44950,State St & 95th St,Wabash Ave & 87th St,1
47919,Wabash Ave & Grand Ave,Ashland Ave & Wellington Ave,1
39015,Ravenswood Ave & Irving Park Rd,Sheridan Rd & Buena Ave,1
45836,State St & Van Buren St,New St & Illinois St,1
43977,Southport Ave & Waveland Ave,Sheridan Rd & Montrose Ave,1
45837,State St & Van Buren St,Ogden Ave & Congress Pkwy,1
51125,Western Ave & Monroe St,Southport Ave & Waveland Ave,1
45838,State St & Van Buren St,Orleans St & Merchandise Mart Plaza,1
47916,Wabash Ave & Grand Ave,Ashland Ave & Chicago Ave,1
40252,Sangamon St & Washington Blvd,Throop St & Taylor St,1
45834,State St & Van Buren St,N Clark St & W Elm St,1
43969,Southport Ave & Waveland Ave,Sheffield Ave & Kingsbury St,1
51124,Western Ave & Monroe St,Smith Park,1
39006,Ravenswood Ave & Irving Park Rd,Racine Ave & Belmont Ave,1
45827,State St & Van Buren St,Michigan Ave & Pearson St,1
39007,Ravenswood Ave & Irving Park Rd,Ravenswood Ave & Berteau Ave,1
52329,Wood St & Chicago Ave,Ashland Ave & Grand Ave,1
47952,Wabash Ave & Grand Ave,Clark St & Winnemac Ave,1
47951,Wabash Ave & Grand Ave,Clark St & Wellington Ave,1
43959,Southport Ave & Waveland Ave,Ravenswood Ave & Lawrence Ave,1
44954,State St & Chicago Ave,Aberdeen St & Monroe St,1
43960,Southport Ave & Waveland Ave,Richmond St & Diversey Ave,1
52092,Wolcott (Ravenswood) Ave & Montrose Ave,Damen Ave & Leland Ave,1
41621,Sheffield Ave & Waveland Ave,Michigan Ave & Lake St,1
43961,Southport Ave & Waveland Ave,Ritchie Ct & Banks St,1
44953,State St & 95th St,Yates Blvd & 93rd St,1
39010,Ravenswood Ave & Irving Park Rd,Rockwell St & Eastwood Ave,1
45831,State St & Van Buren St,Morgan Ave & 14th Pl,1
43963,Southport Ave & Waveland Ave,Rush St & Superior St,1
47941,Wabash Ave & Grand Ave,Clark St & Berwyn Ave,1
43964,Southport Ave & Waveland Ave,Sangamon St & Washington Blvd,1
45832,State St & Van Buren St,Morgan St & 18th St,1
51123,Western Ave & Monroe St,Seeley Ave & Roscoe St,1
45833,State St & Van Buren St,Morgan St & Lake St,1
47829,Wabash Ave & Cermak Rd,Clinton St & 18th St,1
45859,State St & Van Buren St,Theater on the Lake,1
44941,State St & 95th St,Greenwood Ave & 97th St,1
47709,Wabash Ave & Adams St,Damen Ave & Pierce Ave,1
47723,Wabash Ave & Adams St,Emerald Ave & 31st St,1
47722,Wabash Ave & Adams St,Dusable Harbor,1
47721,Wabash Ave & Adams St,DuSable Lake Shore Dr & Wellington Ave,1
44922,State St & 76th St,Ashland Ave & 78th St,1
47716,Wabash Ave & Adams St,Desplaines St & Kinzie St,1
44921,State St & 54th St,Western Ave & 62nd St,1
47714,Wabash Ave & Adams St,Delano Ct & Roosevelt Rd,1
51134,Western Ave & Roscoe St,Broadway & Belmont Ave,1
51135,Western Ave & Roscoe St,Broadway & Waveland Ave,1
44074,Southport Ave & Wellington Ave,Kingsbury St & Erie St,1
44075,Southport Ave & Wellington Ave,LaSalle St & Adams St,1
45886,Stave St & Armitage Ave,California Ave & Altgeld St,1
47708,Wabash Ave & Adams St,Damen Ave & Melrose Ave,1
52098,Wolcott (Ravenswood) Ave & Montrose Ave,DuSable Lake Shore Dr & North Blvd,1
45889,Stave St & Armitage Ave,California Ave & Francis Pl (Temp),1
45891,Stave St & Armitage Ave,California Ave & North Ave,1
39082,Ravenswood Ave & Lawrence Ave,Kedzie Ave & Leland Ave,1
39083,Ravenswood Ave & Lawrence Ave,LaSalle St & Jackson Blvd,1
47706,Wabash Ave & Adams St,Cottage Grove Ave & Oakwood Blvd,1
40211,Sangamon St & Washington Blvd,Michigan Ave & Lake St,1
52543,Wood St & Milwaukee Ave,Clark St & Leland Ave,1
47705,Wabash Ave & Adams St,Cottage Grove Ave & 47th St,1
44072,Southport Ave & Wellington Ave,Honore St & Division St,1
44071,Southport Ave & Wellington Ave,Hampden Ct & Diversey Ave,1
44925,State St & 79th St,Bennett Ave & 79th St,1
44924,State St & 76th St,Yates Blvd & 75th St,1
51732,Wilton Ave & Diversey Pkwy,Clark St & Schiller St,1
45884,Stave St & Armitage Ave,Broadway & Berwyn Ave,1
45885,Stave St & Armitage Ave,Broadway & Cornelia Ave,1
47736,Wabash Ave & Adams St,Halsted St & Roscoe St,1
51133,Western Ave & Roscoe St,Bosworth Ave & Howard St,1
44059,Southport Ave & Wellington Ave,Eckhart Park,1
39074,Ravenswood Ave & Lawrence Ave,DuSable Lake Shore Dr & Wellington Ave,1
47732,Wabash Ave & Adams St,Franklin St & Lake St,1
39076,Ravenswood Ave & Lawrence Ave,Francisco Ave & Montrose Ave,1
44061,Southport Ave & Wellington Ave,Field Blvd & South Water St,1
44062,Southport Ave & Wellington Ave,Franklin St & Jackson Blvd,1
41560,Sheffield Ave & Waveland Ave,Desplaines St & Randolph St,1
47729,Wabash Ave & Adams St,Fort Dearborn Dr & 31st St,1
44063,Southport Ave & Wellington Ave,Green St & Randolph St,1
44923,State St & 76th St,Michigan Ave & 71st St,1
41018,Shedd Aquarium,Clinton St & 18th St,1
52545,Wood St & Milwaukee Ave,Clark St & Montrose Ave,1
39078,Ravenswood Ave & Lawrence Ave,Halsted St & Dickens Ave,1
47726,Wabash Ave & Adams St,Federal St & Polk St,1
44066,Southport Ave & Wellington Ave,Halsted St & Clybourn Ave,1
44069,Southport Ave & Wellington Ave,Halsted St & Willow St,1
41561,Sheffield Ave & Waveland Ave,Drake Ave & Addison St,1
52542,Wood St & Milwaukee Ave,Clark St & Lake St,1
44078,Southport Ave & Wellington Ave,Larrabee St & Division St,1
44079,Southport Ave & Wellington Ave,Larrabee St & Kingsbury St,1
41024,Shedd Aquarium,Cornell Ave & Hyde Park Blvd,1
47687,Wabash Ave & Adams St,California Ave & Cortez St,1
51138,Western Ave & Roscoe St,California Ave & Francis Pl (Temp),1
44095,Southport Ave & Wellington Ave,Mies van der Rohe Way & Chicago Ave,1
40206,Sangamon St & Washington Blvd,May St & Taylor St,1
45899,Stave St & Armitage Ave,Clark St & Lake St,1
51139,Western Ave & Roscoe St,California Ave & Milwaukee Ave,1
52532,Wood St & Milwaukee Ave,Central Park Ave & Elbridge Ave,1
52099,Wolcott (Ravenswood) Ave & Montrose Ave,Field Museum,1
40205,Sangamon St & Washington Blvd,Malcolm X College Vaccination Site,1
47684,Wabash Ave & Adams St,Broadway & Cornelia Ave,1
47683,Wabash Ave & Adams St,Blue Island Ave & 18th St,1
41558,Sheffield Ave & Waveland Ave,Desplaines St & Jackson Blvd,1
40203,Sangamon St & Washington Blvd,Loomis St & Jackson Blvd,1
